query;title;url;abstract;authors;date;downloads;score;journal
"""mTOR""";Activin Signaling Regulates Autophagy and Cardiac Aging through mTORC2;https://www.biorxiv.org/content/10.1101/139360v3;Age-dependent loss of cardiac tissue homeostasis largely impacts heart performance and contributes significantly to cardiovascular diseases later in life.  Cellular quality control machinery, such as autophagy/lysosome system, plays a crucial role in maintaining cardiac health and preventing age-induced cardiomyopathy and heart failure.;Kai Chang ... Hua Bai;2017-05-31;638;1.0;missing
"""mTOR""";mTORC1-mediated inhibition of 4EBP1 is essential for Hedgehog (HH) signaling and can be targeted to suppress HH-driven medulloblastoma;https://www.biorxiv.org/content/10.1101/130872v1;Mechanistic target of rapamycin (MTOR) cooperates with Hedgehog (HH) signaling, but the underlying mechanisms are incompletely understood.  Here, we provide genetic, biochemical, and pharmacologic evidence that MTOR complex 1 (mTORC1)- dependent translation is a prerequisite for HH signaling.;Chang-Chih Wu ... Young-Goo Han;2017-04-25;612;1.0;missing
"""mTOR""";Generally applicable transcriptome-wide analysis of translational efficiency using anota2seq;https://www.biorxiv.org/content/10.1101/106922v4;mRNA translation plays an evolutionarily conserved role in homeostasis and when dysregulated results in various disorders.  Optimal and universally applicable analytical methods to study transcriptome-wide changes in translational efficiency are therefore critical for understanding the complex role of translation regulation under physiological and pathological conditions.;Christian Oertlin ... Ola Larsson;2017-02-08;1997;0.43;missing
"""mTOR""";Immuno-Detection by sequencing (ID-seq) enables large-scale high-dimensional phenotyping in cells.;https://www.biorxiv.org/content/10.1101/158139v2;Cell-based small molecule screening is an effective strategy leading to new medicines.  Scientists in the pharmaceutical industry as well as in academia have made tremendous progress in developing both large-scale and smaller-scale screening assays.;Jessie A.G. van Buggenum ... Klaas W. Mulder;2017-06-30;1566;0.43;missing
"""mTOR""";Protection of bona fide T follicular memory cells during tissue isolation reveals their persistence, plasticity and functional impact;https://www.biorxiv.org/content/10.1101/677559v3;CD4 memory T cells play an important role in protective immunity and are a key target in vaccine development.  Many studies have focused on T central memory (TCM) cells, while the existence and functional significance of T follicular helper (TFH) memory cells is controversial.;Marco Künzli ... Carolyn G King;2019-06-23;1469;0.43;missing
"""mTOR""";Enhanced translation expands the endo-lysosome size and promotes antigen presentation during phagocyte activation;https://www.biorxiv.org/content/10.1101/260257v3;The mechanisms that govern organelle adaptation and remodeling remain poorly defined.  The endo-lysosomal system degrades cargo from various routes including endocytosis, phagocytosis and autophagy.;Victoria E. B. Hipolito ... Roberto J. Botelho;2018-02-05;1268;0.43;missing
"""mTOR""";YAP/TAZ as a Novel Regulator of cell volume;https://www.biorxiv.org/content/10.1101/528133v1;How mammalian cells regulate their physical size is currently poorly understood, in part due to the difficulty of accurately quantifying cell volume in a high throughput manner.  Here, using the fluorescence exclusion method, we demonstrate that the mechanosensitive transcriptional regulators YAP (Yes-associated protein) and TAZ (transcriptional coactivator with PDZ-binding motif) are novel regulators of single cell volume.;Nicolas A. Perez-Gonzalez ... Sean X. Sun;2019-01-23;1265;0.43;missing
"""mTOR""";Widespread translational remodeling during human neuronal differentiation;https://www.biorxiv.org/content/10.1101/156190v1;Faithful cellular differentiation requires precise coordination of changes in gene expression.  However, the relative contributions of transcriptional and translational regulation during human cellular differentiation are unclear.;John D Blair ... Jennifer A. Doudna;2017-06-26;1181;0.43;missing
"""mTOR""";Maternal immune activation dysregulation of the fetal brain transcriptome and relevance to the pathophysiology of autism spectrum disorder;https://www.biorxiv.org/content/10.1101/064683v2;Maternal immune activation (MIA) via infection during pregnancy is known to increase risk for autism spectrum disorder (ASD).  However, it is unclear how MIA disrupts fetal brain gene expression in ways that may explain this increased risk.;Michael V. Lombardo ... Tiziano Pramparo;2016-07-19;1133;0.43;missing
"""mTOR""";TORC1 inhibition as an immunotherapy to reduce infections in the elderly;https://www.biorxiv.org/content/10.1101/230813v1;mTOR inhibition extends lifespan and ameliorates aging-related pathologies including declining immune function in model organisms.  The objective of this Phase 2a clinical trial was to determine if low dose mTOR inhibitor therapy enhanced immune function and thereby decreased infection rates in elderly subjects.;Joan B Mannick ... Lloyd B. Klickstein;2017-12-11;1130;0.43;missing
"""mTOR""";Benefits of higher resistance-training volume depends on ribosome biogenesis;https://www.biorxiv.org/content/10.1101/666347v1;Resistance-exercise volume is a determinant of training outcomes.  However not all individuals respond in a dose-dependent fashion.;Daniel Hammarström ... Stian Ellefsen;2019-06-11;1071;0.43;missing
"""mTOR""";Deciphering the Signaling Network Landscape of Breast Cancer Improves Drug Sensitivity Prediction;https://www.biorxiv.org/content/10.1101/2020.01.21.907691v1;Although genetic and epigenetic abnormalities in breast cancer have been extensively studied, it remains difficult to identify those patients who will respond to particular therapies.  This is due in part to our lack of understanding of how the variability of cellular signaling affects drug sensitivity.;Marco Tognetti ... Bernd Bodenmiller;2020-01-21;1069;0.43;missing
"""mTOR""";Thermoneutrality induces skeletal muscle myopathy via brown adipose tissue in an IRF4- and myostatin-dependent manner;https://www.biorxiv.org/content/10.1101/274365v1;Skeletal muscle and brown adipose tissue (BAT) share a common lineage and have been functionally linked, as exercise increases browning through the actions of various myokines.  It is unknown, however, whether BAT can affect skeletal muscle function.;Xingxing Kong ... Evan D Rosen;2018-03-02;1067;0.43;missing
"""mTOR""";Genome-wide association study of susceptibility to idiopathic pulmonary fibrosis;https://www.biorxiv.org/content/10.1101/636761v1;Rationale: Idiopathic pulmonary fibrosis (IPF) is a complex lung disease characterised by scarring of the lung that is believed to result from an atypical response to injury of the epithelium.  The mechanisms by which this arises are poorly understood and it is likely that multiple pathways are involved.;Richard J Allen ... Louise V Wain;2019-05-14;956;0.43;missing
"""mTOR""";WDR45 contributes to neurodegeneration through regulation of ER homeostasis and neuronal death;https://www.biorxiv.org/content/10.1101/282210v1;"Mutations in the autophagy gene WDR45 cause β-propeller protein-associated neurodegeneration (BPAN); however the molecular and cellular mechanism of the disease process is largely unknown.  Here we generated constitutive Wdr45 knockout (KO) mice that displayed cognitive impairments, abnormal synaptic transmission and lesions in hippocampus and basal ganglia.";Huida Wan ... Lujian Liao;2018-03-14;929;0.43;missing
"""mTOR""";Pooled genome-wide CRISPR screening for basal and context-specific fitness gene essentiality in Drosophila cells;https://www.biorxiv.org/content/10.1101/274464v1;Genome-wide screens in Drosophila cells have offered numerous insights into gene function, yet a major limitation has been the inability to stably deliver large multiplexed DNA libraries to cultured cells allowing barcoded pooled screens.  Here, we developed a site-specific integration strategy for library delivery and performed a genome-wide CRISPR knockout screen in Drosophila S2R+ cells.;Raghuvir Viswanatha ... Norbert Perrimon;2018-03-01;746;0.43;missing
"""mTOR""";Enhanced autophagic-lysosomal activity and increased BAG3-mediated selective macroautophagy as adaptive response of neuronal cells to chronic oxidative stress;https://www.biorxiv.org/content/10.1101/580977v1;Oxidative stress and a disturbed cellular protein homeostasis (proteostasis) belong to the most important hallmarks of aging and of neurodegenerative disorders.  The proteasomal and autophagic-lysosomal degradation pathways are key measures to maintain proteostasis.;Debapriya Chakraborty ... Christian Behl;2019-03-18;742;0.43;missing
"""mTOR""";Controlled cycling and quiescence enables homology directed repair in engraftment-enriched adult hematopoietic stem and progenitor cells;https://www.biorxiv.org/content/10.1101/301176v1;Hematopoietic stem cells (HSCs) are the source of all blood components, and genetic defects in these cells are causative of disorders ranging from severe combined immunodeficiency to sickle cell disease.  However, genome editing of long-term repopulating HSCs to correct mutated alleles has been challenging.;Jiyung Shin ... JE Corn;2018-04-13;731;0.43;missing
"""mTOR""";Translational control of breast cancer plasticity;https://www.biorxiv.org/content/10.1101/596544v1;Plasticity of neoplasia, whereby cancer cells attain stem-cell-like properties, is required for disease progression and represents a major therapeutic challenge.  We report that in breast cancer cells NANOG, SNAIL and NODAL transcripts manifest multiple isoforms characterized by different 5' Untranslated Regions (5'UTRs), whereby translation of a subset of these isoforms is stimulated under hypoxia.;Michael Jewer ... Lynne-Marie Postovit;2019-04-02;638;0.43;missing
"""mTOR""";VHL Synthetic Lethality Signatures Uncovered by Genotype-specific CRISPR-Cas9 Screens;https://www.biorxiv.org/content/10.1101/588707v1;Background: Genome-wide CRISPR-Cas9 essentiality screening represents a powerful approach to identify genetic vulnerabilities in cancer cells.  Here, we applied this technology and designed a strategy to identify target genes that are synthetic lethal (SL) with von Hippel-Lindau (VHL) tumor suppressor gene.;Ning Sun ... Namjin Chung;2019-03-26;626;0.43;missing
